#VERSION	1
#SKILL
Hitchar      &GYou rear back and breathe a stream of acid onto $N!&z~
Hitvict      &G$n rears back and breathes corrosive acid onto you!&z ~
Hitroom      &G$n rears back and breathes a corrosive stream of acid at $N!&z~
Misschar     &GYour breath of acid misses hitting $N!&z~
Missvict     &GYou manage to leap out of the path of $n's acid breath!&z~
Missroom     &GIncredibly, $N leaps out of the path of $n's acid breath!&z~
Diechar      &GYour breath of acid burns $N till $E is dead!&z~
Dievict      &GYou are burned beyond recognition by the breath of acid!&z~
Dieroom      &G$N is corroded beyond recognition by $n's acid breath!&z~
Minlevel     101
End

#SKILL
Name         acidmist~
Type         Spell
Info         1536
Author	    Smaug~
Flags        256
Target       3
Minpos       evasive~
Slot         550
Mana         70
Rounds       24
Rent		50000
Code         spell_smaug
Dammsg       ~
Wearoff      &GThe cloud of acidic mist around you dissipates away.&z~
Hitchar      &GA vaporous cloud of acidic mist forms around you.&z~
Hitvict      &GA vaporous cloud of acidic mist forms around you.&z~
Hitroom      &GA vaporous cloud of acidic mist forms around $N.&z~
Missvict     You fail to conjure the acidic vapors.~
Affect       'l' 26 'acidmist' 20
Affect       '' 60 '551' -1
Affect       '' 60 '88' -1
Affect       '' 60 '522' -1
Affect       '' 60 '89' -1
Affect       '' 60 '221' -1
Minlevel     85
End

#SKILL
Name         acidshot~
Type         Spell
Info         1421
Author	    Smaug~
Flags        6144
Target       1
Minpos       fighting~
Slot         554
Mana         15
Rounds       12
Rent		-2
Code         spell_smaug
Dammsg       droplet of acid~
Hitchar      &G$N is burned by your acidmist!~
Hitvict      &GYou are burned by droplets of acid from $n's acidmist!~
Hitroom      &GDroplets of acid from $n's acidmist horribly burn $N!~
Diechar      &G$N's body dissolves under the onslaught of acid!~
Dievict      &GThe acid overwhelms you and dissolves you into goo!~
Dieroom      &G$N's body dissolves under the onslaught of $n's acidmist!&z~
Dice         l/2+30~
Minlevel     101
End

#SKILL
Name         alertness~
Type         Spell
Info         536
Author	    Smaug~
Flags        0
Target       3
Minpos       evasive~
Slot         102
Mana         20
Rounds       24
Rent		20000
Code         spell_smaug
Dammsg       ~
Wearoff      You suddenly feel less alert!~
Hitvict      You are suddenly more alert and reactive!~
Hitroom      $N's eyes dart about the room in an alert manner.~
Affect       'l*3' 27 'sleep' -1
Minlevel     21
End

#SKILL
Name         animal senses~
Type         Spell
Info         512
Author	    Smaug~
Flags        0
Target       2
Minpos       standing~
Slot         44
Mana         20
Rounds       24
Rent		20000
Code         spell_smaug
Dammsg       ~
Wearoff      You feel less aware of your surroundings.~
Hitvict      Your senses are heightened to those of an animal.~
Hitroom      $N's senses are heightened to those of an animal.~
Affect       'l*4' 26 'detect hidden' 5
Minlevel     21
End

#SKILL
Name         animate dead~
Type         Spell
Info         1352
Author	    Smaug~
Flags        6400
Minpos       evasive~
Slot         231
Mana         40
Rounds       48
Rent		-2
Code         spell_animate_dead
Dammsg       ~
Wearoff      !Animate Dead!~
Minlevel     10
End

#SKILL
Name         antimagic shell~
Type         Spell
Info         1560
Author	    Smaug~
Flags        6400
Target       2
Minpos       evasive~
Slot         224
Mana         65
Rounds       24
Rent		20000
Code         spell_smaug
Dammsg       ~
Wearoff      The shimmering shell and its protection from magic fade away...~
Hitvict      A shimmering translucent shell forms about you.~
Hitroom      A shimmering translucent shell forms about $N.~
Affect       'l*2' 27 '1048576' -1
Minlevel     75
End

#SKILL
Name         aqua breath~
Type         Spell
Info         568
Author	    Smaug~
Flags        1024
Target       2
Minpos       evasive~
Slot         236
Mana         20
Rounds       24
Rent		15000
Code         spell_smaug
Dammsg       ~
Wearoff      &cYour lungs revert to their original state.&z~
Hitchar      &cYou give $N the ability to breathe underwater...&z~
Hitvict      &cYour lungs gain the ability to breathe underwater...&z~
Hitroom      &c$N's lungs take on the ability to breathe underwater...&z~
Affect       'l*3' 26 'aqua_breath' 31
Minlevel     12
End

#SKILL
Name         arcane perception~
Type         Spell
Info         1024
Author	    Smaug~
Flags        14592
Target       2
Minpos       standing~
Slot         542
Mana         30
Rounds       24
Rent		10000
Code         spell_smaug
Dammsg       ~
Wearoff      The blue outlines disappear from your vision.~
Hitvict      Traces of blue outline the magical objects in your field of vision.~
Hitroom      A tint of blue in $N's eyes mirrors $S own perception.~
Missvict     A blue tint fills your eyes for a moment before fading away with no effect.~
Affect       'l*4' 26 'detect_magic' 4
Affect       '' 60 '20' -1
Minlevel     31
End

#SKILL
Name         armor~
Type         Spell
Info         512
Author	    Smaug~
Flags        0
Target       2
Minpos       evasive~
Slot         1
Mana         10
Rounds       15
Rent		20000
Code         spell_smaug
Dammsg       ~
Wearoff      &WYour armor returns to its mundane value.&z~
Hitchar      &WYou imbue $N with the protection of the armor spell.&z~
Hitvict      &WYour armor begins to glow softly as it is enhanced by a spell.&z~
Hitroom      &W$N's armor begins to glow softly as it is enhanced by magic.&z~
Affect       'l*10' 17 '-20' -1
Affect       '' 60 '543' -1
Minlevel     2
End

#SKILL
Name         astral walk~
Type         Spell
Info         1536
Author	    Smaug~
Flags        8448
Minpos       evasive~
Slot         90
Mana         65
Rounds       24
Rent		20000
Code         spell_astral_walk
Dammsg       ~
Wearoff      !Astral Walk!~
Missvict     You fail to open a gateway onto another plane!~
Minlevel     60
End

#SKILL
Name         bark skin~
Type         Spell
Info         520
Author	    Smaug~
Flags        6144
Target       3
Minpos       defensive~
Slot         508
Mana         15
Rounds       18
Rent		30000
Code         spell_smaug
Dammsg       ~
Wearoff      &OYour bark-like skin begins to return to normal.&z~
Hitvict      &OYour skin is changed into a hard, bark-like substance.&z~
Hitroom      &O$N's skin morphs into a hard, bark-like consistency.&z~
Affect       'l*4' 17 '-30' -1
Minlevel     31
End

#SKILL
Name         beacon~
Type         Spell
Info         0
Author	    Smaug~
Flags        256
Minpos       standing~
Slot         586
Mana         75
Rounds       5
Rent		-2
Code         spell_beacon
Dammsg       ~
Minlevel     26
End

#SKILL
Name         benediction~
Type         Spell
Info         512
Author	    Smaug~
Flags        12544
Target       2
Minpos       defensive~
Slot         98
Mana         25
Rounds       32
Rent		-2
Code         spell_smaug
Dammsg       ~
Wearoff      &WYour time in The Protection of The High Gods is over.&z~
Hitchar      &WYou lay The Protection of The High Gods upon $N.&z~
Hitvict      &WThe Protection of The High Gods is temporarily given to you.&z~
Hitroom      &WThe Protection of The High Gods is temporarily given to $N.&z~
Affect       '' 60 '34' -1
Affect       'l*2' 26 'benediction' 13
Minlevel     37
End

#SKILL
Name         benefic aura~
Type         Spell
Info         1024
Author	    Smaug~
Flags        6400
Target       3
Minpos       evasive~
Slot         342
Mana         35
Rounds       32
Rent		-2
Code         spell_smaug
Dammsg       ~
Wearoff      &WThe aura around you dissipates.&z~
Hitvict      &WA faint glow rises about you as you are blessed with an aura of holiness.&z~
Hitroom      &WA faint glow rises protectively about $N.&z~
Components   V@11452~
Affect       'l*2' 17 '-20-(l/10)' -1
Affect       'l*2' 18 '1+(l/20)' -1
Affect       'l*2' 26 'protect' 13
Minlevel     43
End

#SKILL
Name         black fist~
Type         Spell
Info         9615
Author	    Smaug~
Flags        256
Target       1
Minpos       fighting~
Saves        5
Slot         310
Mana         40
Rounds       18
Rent		25000
Code         spell_smaug
Dammsg       black fist~
Wearoff      !WEAROFF!~
Hitchar      &bYou conjure up a magical fist of dark energies to smash into $N!&z~
Hitvict      &bA magical fist of dark energies smashes into you!&z~
Hitroom      &b$n conjures a magical fist of dark energies to smash into $N!&z~
Misschar     &bYou conjure up a magical fist of dark energies which fail to hit $N!&z~
Missvict     &bYou sidestep away from the oncoming magical fist of dark energies!&z~
Missroom     &b$N sidesteps away from the oncoming magical fist of dark energies!&z~
Diechar      &bYour magical fist of dark energies drains the life out of $N!&z~
Dievict      &bYour life slips away from you as the magical fist of dark energies smashes you!&z~
Dieroom      &b$n's magical fist of dark energies drains the life out of $N!&z~
Dice         ld5+(l/2) { 400~
Minlevel     24
End

#SKILL
Name         black hand~
Type         Spell
Info         9103
Author	    Smaug~
Flags        4096
Target       1
Minpos       fighting~
Saves        5
Slot         301
Mana         15
Rounds       18
Rent		38000
Code         spell_smaug
Dammsg       black hand~
Wearoff      !WEAROFF!~
Hitchar      &bYou conjure up a magical hand of dark energies to grasp $N!&z~
Hitvict      &bA magical hand of dark energies grasps you!&z~
Hitroom      &b$n conjures a magical hand of dark energies to grasp $N!&z~
Misschar     &bYou conjure up a magical hand of dark energies which fail to grab $N!&z~
Missvict     &bYou sidestep away from the magical hand of dark energies!&z~
Missroom     &b$N sidesteps away from the magical hand of dark energies!&z~
Diechar      &bYour magical hand of dark energies drains the life out of $N!&z~
Dievict      &bYour life slips away from you as the magical hand of dark energies grasps you!&z~
Dieroom      &b$N's life is drained away by the magical hand of dark energies!&z~
Dice         ld6+(l*2){500~
Minlevel     13
End

#SKILL
Name         black lightning~
Type         Spell
Info         10124
Author	    Smaug~
Flags        6416
Minpos       fighting~
Saves        5
Slot         303
Mana         70
Rounds       18
Rent		48000
Code         spell_smaug
Dammsg       black lightning~
Wearoff      !WEAROFF!~
Hitchar      &bYou call up a crackling storm of dark energies!&z~
Hitvict      &bYou are caught in a crackling storm of dark energies!&z~
Hitroom      &bA crackling storm of dark energies fills the room!&z~
Misschar     &bThe bolts of dark energy from the storm you conjured up fail to hit $N!&z~
Missvict     &bYou managed to narrowly escape the dark bolts from the storm!&z~
Missroom     &bThe dark bolts from the storm fails to hit $N!&z~
Diechar      &bYour crackling storm of dark energies saps the life out of $N!&z~
Dievict      &bDark bolts shoot into you and your life is drained from you!&z~
Dieroom      &bThe crackling storm of dark energies saps the life out of $N!&z~
Dice         ld6+(l*2) { 500~
Minlevel     63
End

#SKILL
Name         blade barrier~
Type         Spell
Info         1024
Author	    Smaug~
Flags        6400
Target       3
Minpos       evasive~
Slot         522
Mana         70
Rounds       24
Rent		-2
Code         spell_smaug
Dammsg       ~
Wearoff      &WThe spinning barrier of sharp blades around you disappears abruptly.&z~
Hitchar      &WA barrier of sharp blades suddenly appears spinning about you!&z~
Hitvict      &WYou are surrounded by a spinning barrier of sharp blades!&z~
Hitroom      &W$N is suddenly surrounded by a spinning barrier of sharp blades!&z~
Missvict     You fail to create the blade barrier.~
Affect       '' 60 '550' -1
Affect       '' 60 '551' -1
Affect       'l' 26 'blade barrier' 34
Affect       '' 60 '221' -1
Affect       '' 60 '88' -1
Affect       '' 60 '89' -1
Minlevel     56
End

#SKILL
Name         blades~
Type         Spell
Info         1420
Author	    Smaug~
Flags        4352
Target       1
Minpos       defensive~
Slot         523
Mana         15
Rounds       12
Rent		-2
Code         spell_smaug
Dammsg       barrier of blades~
Hitchar      &W$N is slashed by your barrier of blades!&z~
Hitvict      &WYou are slashed by $n's barrier of blades!&z~
Hitroom      &W$N is slashed by $n's blade barrier!&z~
Missroom     &WThe barrier of blades fail to hit $N.&z~
Diechar      &W$N is slashed to bits by your blade barrier!&z~
Dievict      &WYou are slashed to bits by $n's blade barrier!&z~
Dieroom      &W$N is slashed to bits by $n's blade barrier!&z~
Dice         l/2+10~
Minlevel     101
End

#SKILL
Name         blazebane~
Type         Spell
Info         3104
Author	    Smaug~
Flags        4096
Target       1
Minpos       defensive~
Saves        5
Slot         216
Mana         60
Rounds       24
Rent		20000
Code         spell_smaug
Dammsg       ~
Wearoff      &RYour flesh grows less susceptible to fire.&z~
Hitchar      &RYou place a fear of flames in $N's mind...&z~
Hitvict      &RYour flesh grows more susceptible to fire.&z~
Hitroom      &R$N begins to mutter about a fear of flames...&z~
Immchar      Mysteriously, $N was not affected by your spell.~
Affect       'l*3' 29 '1' -1
Minlevel     35
End

#SKILL
Name         blazeward~
Type         Spell
Info         1048
Author	    Smaug~
Flags        0
Target       2
Minpos       evasive~
Slot         215
Mana         60
Rounds       24
Rent		20000
Code         spell_smaug
Dammsg       ~
Wearoff      &RThe ward of flames ceases to protect you.&z~
Hitchar      &RA red glow surrounds $N, protecting $M from intense heat.&z~
Hitvict      &RA red glow surrounds you, protecting you from intense heat.&z~
Hitroom      &R$N begins to radiate a red light which repels intense heat.&z~
Affect       'l*3' 27 '1' -1
Minlevel     35
End

#SKILL
Name         bless~
Type         Spell
Info         512
Author	    Smaug~
Flags        0
Target       2
Minpos       defensive~
Slot         3
Mana         10
Rounds       12
Rent		5000
Code         spell_smaug
Dammsg       ~
Wearoff      &WThe blessing fades away.&z~
Hitchar      &WYou lay the blessing of your god upon $N.&z~
Hitvict      &WA powerful blessing is laid upon you.&z~
Hitroom      &W$N beams as a powerful blessing is laid upon $M.&z~
Affect       '' 60 '76' -1
Affect       'l*10' 18 '1+l/20' -1
Affect       'l*10' 24 '-(1+l/20)' -1
Minlevel     3
End

#SKILL
Name         blindness~
Type         Spell
Info         2560
Author	    Smaug~
Flags        0
Target       1
Minpos       fighting~
Saves        5
Slot         4
Mana         25
Rounds       18
Rent		45000
Code         spell_smaug
Dammsg       ~
Wearoff      You can see again.~
Hitchar      You cast a veil of darkness over $N's eyes!~
Hitvict      You are suddenly unable to see!~
Hitroom      $N is blinded by $n's spell!~
Misschar     You fail to blind $N with your spell!~
Missvict     $n's attempt to blind you fails!~
Missroom     $n's attempt to blind $N fails!~
Affect       'l*4' 18 '-8' 0
Affect       'l*4' 17 '+20' -1
Minlevel     22
End

#SKILL
Name         bloodslash~
Type         Spell
Info         1416
Author	    Rathian~
Flags        0
Target       1
Minpos       fighting~
Slot         593
Mana         60
Rounds       15
Rent		-1
Code         spell_smaug
Dammsg       sword slash~
Wearoff      !Blood Slash!~
Hitchar      &RYour sword moves with unnatural speed, spraying $N's blood!&z~
Hitvict      &RYou feel the pain of $n's sword cut you a thousand times!&z~
Hitroom      &R$n's sword slashes $N terribly, spraying $S blood onto you!&z~
Misschar     &RAmazingly, $N dodges your slash!&z~
Missvict     &RAmazingly, you dodge $n's deadly slash!&z~
Missroom     &R$N barely dodges $n's deadly slash!&z~
Diechar      &R$N's body explodes into a shower of blood that stains your sword!&z~
Dievict      &RYou feel your blood spray from all your fatal cuts as you collapse!&z~
Dieroom      &R$N explodes in a shower of blood after being slashed by $n's sword!&z~
Dice         3000d1~
Minlevel     101
End

#SKILL
Name         burning hands~
Type         Spell
Info         905
Author	    Smaug~
Flags        4112
Minpos       fighting~
Slot         5
Mana         10
Rounds       18
Rent		24000
Code         spell_smaug
Dammsg       burning hands~
Wearoff      !Burning Hands!~
Hitchar      &RA jet of searing flame shoots out from your hands!&z~
Hitvict      &RYou are caught in a fan-like sheet of flames!&z~
Hitroom      &RA jet of searing flame shoots out from $n's hands!&z~
Misschar     &RYour jet of searing flame shoots wildly off target!&z~
Missvict     &RYou easily step out of the jet of searing flame from $n's hands!&z~
Missroom     &R$n's jet of searing flames shoots wildly off target!&z~
Diechar      &RYour jet of searing flame burns $N alive!&z~
Dievict      &RThe burns caused by the jet of searing flame is too much for you!&z~
Dieroom      &R$N suffers a terrible death from the burns caused by the jet of searing flame!&z~
Dice         ld3 { 70~
Minlevel     3
End

#SKILL
Name         cacophony~
Type         Spell
Info         10124
Author	    Karangi~
Flags        6416
Minpos       fighting~
Saves        5
Slot         584
Mana         50
Rounds       18
Rent		35000
Code         spell_smaug
Dammsg       cacophony~
Wearoff      !Cacophony!~
Hitchar      Your discordant sounds unleash havoc on your immediate area.~
Hitvict      You are struck by a wave of discordant sounds unleashed by $n!~
Hitroom      $n wreaks havoc upon the area with a wave of discordant sounds!~
Misschar     Your attempt to unleash a cacophony of sounds petters out miserably!~
Missvict     A wave of discordant sounds reaches you before fading away harmlessly.~
Missroom     $n's attempt at unleashing a cacophony of sounds fails to take off.~
Diechar      Your cacophony of sounds breaks into $N with such force that $S eardrums split apart!~
Dievict      Your eardrums are split apart by the tremendous force of the cacophony of sounds!~
Dieroom      Blood spurts out from $N's ears as $S eardrums are split apart by the force of the cacophony!~
Dice         ld6 { 400~
Components   K+minstru~
Minlevel     68
End

#SKILL
Name         call lightning~
Type         Spell
Info         9235
Author	    Smaug~
Flags        4096
Minpos       fighting~
Saves        5
Slot         6
Mana         45
Rounds       30
Rent		35000
Code         spell_call_lightning
Dammsg       lightning bolt~
Wearoff      !Call Lightning!~
Minlevel     74
End

#SKILL
Name         calm~
Type         Spell
Info         512
Author	    Smaug~
Flags        6400
Minpos       fighting~
Slot         534
Mana         15
Rounds       24
Rent		-2
Code         spell_calm
Dammsg       ~
Wearoff      You feel less calm....~
Components   K+minstru~
Minlevel     8
End

#SKILL
Name         carrion stench~
Type         Spell
Info         3470
Author	    Smaug~
Flags        6416
Minpos       fighting~
Saves        1
Slot         560
Mana         40
Rounds       20
Rent		48000
Code         spell_smaug
Dammsg       carrion stench~
Wearoff      You feel less nauseous and stop retching from the foul smell.~
Hitchar      &bYou exude a foul smelling stench around you!&z~
Hitvict      &b$n exudes a foul smelling stench which nauseates you!&z~
Hitroom      &bA foul smelling stench exudes from $n!&z~
Misschar     &bYour foul smelling stench is dissipated, failing to affect your target!&z~
Missvict     &bYou manage to hold your breath against $n's carrion stench!&z~
Missroom     &b$N escapes from the foul stench filling the area!&z~
Diechar      &bYour foul smelling stench overwhelms $N!&z~
Dievict      &bThe foul smelling stench overwhelms you as you retch your guts out!&z~
Dieroom      &b$N retches $mself to death as the stench overwhelms $m!&z~
Dice         5d10~
Affect       'l*4' 18 '-2' -1
Affect       'l*4' 19 '-2' -1
Minlevel     23
End

#SKILL
Name         cause critical~
Type         Spell
Info         852
Author	    Smaug~
Flags        6144
Target       1
Minpos       fighting~
Slot         63
Mana         35
Rounds       18
Rent		28000
Code         spell_smaug
Dammsg       spell~
Wearoff      !Cause Critical!~
Hitchar      Your touch causes gaping wounds on $N's skin!~
Hitvict      Your skin is torn apart by gaping wounds!~
Hitroom      Gaping wounds appear on $N's skin!~
Misschar     You fail to wound $N.~
Missvict     $n tries to wound you with $s deadly spell but fails.~
Missroom     $n reaches out to wound $N with $s spell but fails.~
Diechar      $N dies in agony as your spell rends $S flesh!~
Dievict      Your flesh is torn up, killing you instantly!~
Dieroom      $N slumps to the floor, a bleeding pile of flesh.~
Dice         ld3+3d8 { 250~
Minlevel     32
End

#SKILL
Name         cause light~
Type         Spell
Info         852
Author	    Smaug~
Flags        6144
Target       1
Minpos       fighting~
Slot         62
Mana         15
Rounds       18
Rent		12000
Code         spell_smaug
Dammsg       spell~
Wearoff      !Cause Light!~
Hitchar      Your touch causes scars and abrasions to appear on a $N's skin!~
Hitvict      Scars and abrasions open up your skin!~
Hitroom      Scars and abrasions open up on $N's skin!~
Misschar     You fail to wound $N with your spell.~
Missvict     $n reaches out to wound you but misses.~
Missroom     $n barely annoys $N with $s failed attempt to wound $M.~
Diechar      Amazingly the wounds you caused on $N finishes $M off.~
Dievict      Your eyes glaze over as the little wounds end up killing you.~
Dieroom      $N is killed by $n's wounding touch.~
Dice         l+1d8 { 70~
Minlevel     4
End

#SKILL
Name         cause serious~
Type         Spell
Info         848
Author	    Smaug~
Flags        6144
Target       1
Minpos       fighting~
Slot         64
Mana         25
Rounds       18
Rent		20000
Code         spell_smaug
Dammsg       spell~
Wearoff      !Cause Serious!~
Hitchar      Your touch causes deep cuts in $N's skin!~
Hitvict      Deep cuts appear all over your skin!~
Hitroom      Deep cuts appear on $N's skin!~
Misschar     You fail to cause any deep cuts in $N.~
Missvict     $n fails to cut you with $s wounding spell.~
Missroom     $N withstands $n's wounding spell.~
Diechar      Your spell opens up a gash in $N's throat, killing $M!~
Dievict      A bloody gash appears at your throat, painfully killing you.~
Dieroom      Blood spurts out from $N's throat as $n's spell kills $M!~
Dice         ld2+2d8 { 180~
Minlevel     16
End

#SKILL
Name         caustic fount~
Type         Spell
Info         10125
Author	    Smaug~
Flags        6416
Minpos       fighting~
Saves        5
Slot         313
Mana         60
Rounds       18
Rent		25000
Code         spell_smaug
Dammsg       Caustic Fount~
Wearoff      !WEAROFF!~
Hitchar      &GYou spray the area with a fount of deadly acid!&z~
Hitvict      &G$n sprays you with acid, burning your skin horribly!&z~
Hitroom      &G$n douses the area with a spray of caustic acid!&z~
Misschar     &GYour acid fount fails to hit anyone.&z~
Missvict     &GYou nimbly dodge away from $n's acidic spray!&z~
Missroom     &G$n's caustic fount fails to hit anyone!&z~
Diechar      &GYour acid burns $N's body, spilling $S guts onto the floor!&z~
Dievict      &GThe front of your body is burned horribly, spilling your inards!&z~
Dieroom      &G$N suffers a horrible fate as $S flesh is dissolved away!&z~
Dice         ld5+(l/2) { 350~
Minlevel     42
End

#SKILL
Name         celestial lightning~
Type         Spell
Info         9555
Author	    Smaug~
Flags        6400
Target       1
Minpos       fighting~
Saves        5
Slot         576
Mana         60
Rounds       15
Rent		25000
Code         spell_smaug
Dammsg       celestial lightning~
Wearoff      !Celestial Lightning!~
Hitchar      &YThe air crackles with electrical energy as your staff strikes its target!&z~
Hitvict      &YElectrical energy courses through you as $n's staff strikes you!&z~
Hitroom      &YThe air crackles with electrical energy as $n's staff strikes $N!&z~
Misschar     &Y$N is unaffected by the electrical energy from your staff.&z~
Missvict     &YYou are unaffected by the electrical energy from $n's staff.&z~
Missroom     &Y$N is unaffected by the electrical energy from $n's staff.&z~
Diechar      &YThe electrical energy coursing through $N's body causes $S heart to stop!&z~
Dievict      &YThe electrical energy coursing through your body causes your heart to stop!&z~
Dieroom      &YThe electrical energy coursing through $N's body causes $S heart to stop!&z~
Dice         ld4+l~
Minlevel     101
End

#SKILL
Name         celestial thunder~
Type         Spell
Info         9552
Author	    Smaug~
Flags        6416
Minpos       fighting~
Saves        5
Slot         575
Mana         60
Rounds       15
Rent		31000
Code         spell_smaug
Dammsg       celestial thunder~
Wearoff      !Celestial Thunder!~
Hitchar      &YA loud crack of thunder splits the air as your hammer strikes its target!&z~
Hitvict      &YYou experience immense pain as a loud crack of thunder reverberates through the room!&z~
Hitroom      &YA loud crack of thunder splits the air as $n's hammer strikes its target!&z~
Misschar     &YThe loud crack of thunder leaves the target unharmed.&z~
Missvict     &YYou are unaffected by the loud crack of thunder.&z~
Missroom     &YThe loud crack of thunder has no effect.&z~
Diechar      &YThe loud crack of thunder causes such pain that $N falls over dead!&z~
Dievict      &YYour eardrums are split apart by the force of the thunder, leaving your brains in bits!&z~
Dieroom      &YThe loud crack of thunder causes such pain that $N falls over dead!&z~
Dice         ld3+l~
Minlevel     101
End

#SKILL
Name         chain lightning~
Type         Spell
Info         9219
Author	    Samson~
Flags        6416
Target       1
Minpos       fighting~
Saves        5
Slot         595
Mana         60
Rounds       20
Rent		35000
Code         spell_chain_lightning
Dammsg       chain lightning~
Hitchar      &YDeadly chain lightning forks out from your hand, spearing into $N!&z~
Hitvict      &YYou are burned and shocked terribly by $n's chain lightning!&z~
Hitroom      &YChain lightning arcs out at $N, sending crackles through the air!&z~
Misschar     &YYour chained lightning sweeps by $N but does no harm.&z~
Missvict     &Y$n's deadly chain lightning sweeps by but fails to damage you.&z~
Missroom     &Y$n's deadly chain lightning sweeps the area but fails to hurt $N.&z~
Diechar      &YYour chain lightning turns $N into a smouldering corpse!&z~
Dievict      &YYou twist and writhe in agony as the deadly chain lightning claims your life!&z~
Dieroom      &YThe chain lightning rips into $N, leaving only a twitching corpse!&z~
Minlevel     83
End

#SKILL
Name         change form~
Type         Spell
Info         1024
Author	    Smaug~
Flags        6400
Minpos       evasive~
Slot         530
Mana         20
Rounds       24
Rent		-2
Code         spell_polymorph
Dammsg       ~
Wearoff      You revert back to your normal form.~
Minlevel     15
End

#SKILL
Name         change sex~
Type         Spell
Info         512
Author	    Smaug~
Flags        0
Target       2
Minpos       evasive~
Slot         82
Mana         15
Rounds       24
Rent		5000
Code         spell_change_sex
Dammsg       ~
Wearoff      Your body feels familiar again.~
Affect       'l*5' 6 '1' -1
Minlevel     101
End

#SKILL
Name         chaos armor~
Type         Spell
Info         1560
Author	    Smaug~
Flags        6400
Target       3
Minpos       evasive~
Slot         517
Mana         90
Rounds       24
Rent		54000
Code         spell_smaug
Dammsg       ~
Wearoff      &bThe unearthly glow around your armor fades away.&z~
Hitchar      &bThe swirling glow of chaotic energy surrounds your armor.&z~
Hitvict      &bThe swirling glow of chaotic energy surrounds your armor.&z~
Hitroom      &b$n's armor begins to glow with the power of Chaos!!&z~
Affect       'l*3' 17 '-(l/2)' -1
Affect       'l*3' 27 '1' -1
Affect       'l*3' 27 '512' -1
Minlevel     85
End

#SKILL
Name         charged beacon~
Type         Spell
Info         3072
Author	    Smaug~
Flags        4096
Target       1
Minpos       fighting~
Saves        5
Slot         105
Mana         60
Rounds       15
Rent		20000
Code         spell_smaug
Dammsg       ~
Wearoff      &YYou no longer attract electricity.&z~
Hitchar      &Y$N is now susceptible to the powers of electricity.&z~
Hitvict      &YYou are now attractive to the powers of electricity.&z~
Hitroom      &Y$N is now susceptible to the powers of electricity.&z~
Immchar      Your spell has no effect upon $N.~
Affect       'l*3' 29 '4' -1
Minlevel     39
End

#SKILL
Name         charm person~
Type         Spell
Info         2560
Author	    Smaug~
Flags        4096
Target       1
Minpos       evasive~
Saves        3
Slot         7
Mana         30
Rounds       18
Rent		-2
Code         spell_charm_person
Dammsg       ~
Wearoff      You feel more self-confident.~
Minlevel     11
End

#SKILL
Name         chill touch~
Type         Spell
Info         850
Author	    Smaug~
Flags        4096
Target       1
Minpos       fighting~
Slot         8
Mana         15
Rounds       15
Rent		29000
Code         spell_smaug
Dammsg       chilling touch~
Wearoff      &cYou feel less cold.&z~
Hitchar      &cA blue glow encompasses your hands as you touch $N!&z~
Hitvict      &c$n's touch sends a chill through you!&z~
